id;nome;cpf;telefone;email;data_nasc;data_cad;ativo;;;
1;Isabella Lívia Cecília Drumond;81767919891;1137753720;isabella_drumond@kmspublicidade.com.br;07/03/1949;18/04/2024 08:41;1;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);"
2;Luana Luna Vieira;40714319899;1135803172;luana.luna.vieira@itatiaia.net;06/03/1974;18/04/2024 08:41;1;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);"
3;Cauã João Lucca Cardoso;87077438821;1127887313;caua_joao_cardoso@ssala.com.br;05/01/1993;18/04/2024 08:41;1;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);"
4;Henry Levi Nunes;71555729851;1135351570;henry_nunes@corp.inf.br;11/04/1997;18/04/2024 08:41;1;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);"
5;Diogo Joaquim Lucas Nogueira;39940766840;1129610652;diogo.joaquim.nogueira@callan.com.br;14/04/1968;18/04/2024 08:41;1;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);"
6;Ester Sophie da Conceição;69331427875;1138714395;estersophiedaconceicao@danielvasconcelos.com.br;06/02/2005;18/04/2024 08:41;1;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);"
7;Aurora Mirella Betina Bernardes;75131453852;1135914605;auroramirellabernardes@iblojas.com.br;12/01/1976;18/04/2024 08:41;1;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);"
8;Marcos Vinicius Giovanni Carvalho;51032813849;1138634717;marcos-carvalho80@haldex.com;25/02/1975;18/04/2024 08:41;1;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);"
9;Tomás Tiago da Costa;64688698895;1128371687;tomastiagodacosta@bravo.com.br;07/02/1971;18/04/2024 08:41;1;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);"
10;Carlos Augusto Alves;52057114856;1135605022;carlos-alves72@r7.com;11/01/1971;18/04/2024 08:41;1;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);"
11;Marina Ester da Mota;34606837837;1128723871;marina.ester.damota@w3ag.com;27/01/1947;18/04/2024 08:41;1;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);"
12;Letícia Lavínia da Luz;68574924849;1125811768;leticia_daluz@cordeiromaquinas.com.br;02/04/2002;18/04/2024 08:41;1;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);"
13;Yago Thomas Benício Lima;57798779809;1126173140;yago.thomas.lima@machiv.com.br;07/03/1978;18/04/2024 08:41;1;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);"
14;Gael Eduardo João Silveira;83031423801;1128488882;gaeleduardosilveira@grupogil.com.br;07/02/1991;18/04/2024 08:41;1;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);"
15;Cristiane Luana Ayla Ribeiro;94276592895;1135735288;cristiane_ribeiro@castromobile.com.br;01/04/1980;18/04/2024 08:41;1;;;" insert clientes values(1 ,' Isabella Lívia Cecília Drumond ', 81767919891 ,' 1137753720 ', isabella_drumond@kmspublicidade.com.br ,' 17964 ', 45400,3622916667,' 1);"
